,Sent,Received 1 Low,Received 1 High,Received 2 Low,Received 2 High,Received 3 Low,Received 3 High,Received 4 Low,Received 4 High,Received 5 Low,Received 5 High
756,(1.118033988749895+0.22360679774997896j),(0.9354738786200216+0.38908982889495286j),(1.0766813263688237+0.5487210120454921j),(0.9497886688641929+0.7604781188700119j),(0.8954421599856643+0.6349326059432046j),(0.5276946214952698+1.0204032239568188j),(0.6622065329598203+0.9226594687828804j),(0.22685579075010254+1.0526386956369915j),(0.2189237559069927+1.0907521866251182j),(0.14658668807832814+1.217467688561223j),(0.06588680408035585+1.116539755191495j)
757,(0.6708203932499369-0.6708203932499369j),(0.7938976998814846-0.554778427244902j),(0.8594068175611885-0.462816286981433j),(0.8899637383756035-0.3097950703145114j),(0.9479551223737138-0.28950563669374824j),(1.0614945277430465-0.14079393794464945j),(0.9167542685852531+0.029111744144564786j),(0.8872734250972287+0.24991561531088205j),(0.9722982224125108+0.3250229136689163j),(0.8228326893669727+0.5259881663560108j),(0.868701444334374+0.41420452531856217j)
758,(1.118033988749895-0.6708203932499369j),(1.2028377853679797-0.287764936201498j),(1.2984676310206547-0.2877151724709218j),(1.334528144756601-0.23446173083125027j),(1.2781943965755431-0.10719480966338693j),(1.0199327046462259+0.17224049261855712j),(1.1996216615169704+0.3975163627652801j),(0.9731019877875217+0.6903920836024934j),(1.0552738050702362+0.6578191379572023j),(0.7705487323944923+1.0101390276185966j),(0.9799443054715005+0.8394134450536458j)
759,(-0.6708203932499369-0.22360679774997896j),(-0.5751293962245471-0.32214460806243506j),(-0.5143986672412347-0.40312593479610664j),(-0.5092837685679824-0.532867085573366j),(-0.5194736768129998-0.5028155849959492j),(-0.4308871033856701-0.6253586971037933j),(-0.34942338432166736-0.6610884847286568j),(0.036868673095026006-0.637394332372895j),(-0.12851950622645547-0.8503594954680906j),(-0.15749052444079506-0.6541887363944987j),(0.0874002425062834-0.7177998725528595j)
760,(-0.22360679774997896+0.22360679774997896j),(-0.2350511721645776+0.017403159264234747j),(-0.2690806490374031+0.14748877983916894j),(-0.3265419300076519+0.11512945344903654j),(-0.29789823156313444+0.07043137429622295j),(-0.3140132400759723+0.015533772316795919j),(-0.2871711217324414+0.050174633627056604j),(-0.24143947247430703-0.12163115486315035j),(-0.24934491619567897-0.11819573126327182j),(-0.34653384282339417-0.18612785983771704j),(-0.29651594105306817-0.16409435906719452j)
761,(0.22360679774997896+0.22360679774997896j),(0.18152891700826246+0.11660368486281361j),(0.19482673863995006+0.22320902585294536j),(0.14421529172834163+0.38232497598901927j),(0.15496107586408486+0.29967415868142233j),(0.018552373659933747+0.29743324842556024j),(0.005724229880561571+0.3190241392801097j),(-0.13118033452249497+0.25223134313081585j),(-0.10318471376935946+0.2932154804428387j),(-0.04779578166846768+0.2505336337069899j),(-0.1503875735404676+0.3021226718497616j)
762,(0.6708203932499369+1.118033988749895j),(0.37002245937220285+1.1986886257768226j),(0.27799538607157526+1.2189200765436046j),(0.08385115129288377+1.1360909960063348j),(0.04542378050038669+1.295763819487156j),(-0.31484112337645564+1.29342629472645j),(-0.3598748128747671+1.354532680877609j),(-0.7233686028772265+1.0742346555360311j),(-0.7395471869631212+1.0694125747031182j),(-0.8886650563559111+0.8829807424914193j),(-0.8393682344046585+0.9350728432530121j)
763,(0.6708203932499369-1.118033988749895j),(1.020484740213193-0.9057183563044326j),(0.9652409883991153-0.9080313110252188j),(1.15140402622573-0.7723764548182747j),(1.08776581349296-0.7434571140896735j),(1.2006126525409724-0.28543573331847316j),(1.2728102406255-0.3680979402061053j),(1.2983023323853302+0.13908002212097723j),(1.3592165658307687+0.10201187484471193j),(1.2754273118448296+0.25938708110999803j),(1.2738488512296084+0.38727961788234394j)
764,(-0.6708203932499369+1.118033988749895j),(-0.8840294329799333+0.7894112707542098j),(-0.9342469608810148+0.9216547464312073j),(-1.1728370694640362+0.7820862950451245j),(-1.0460940058841097+0.7366224921364098j),(-1.1856590403512097+0.30477716940357175j),(-1.2230045821648763+0.30843277323045515j),(-1.3267161435151895-0.1653572064218057j),(-1.224213497981444-0.0840252515606629j),(-1.2105858785200654-0.3773505181342119j),(-1.2758217091528001-0.2882791830772086j)
765,(0.22360679774997896+1.118033988749895j),(-0.13351749180309821+1.2131512329837386j),(-0.10226612584017596+1.1310401118900968j),(-0.24533241104608744+0.9652467398988868j),(-0.2887996062421184+1.109662161638507j),(-0.6688257836243033+0.9240991570891779j),(-0.6302727764268781+0.9047572781960899j),(-0.9230695784254174+0.5956285618472715j),(-0.863408449426941+0.6689131042549139j),(-1.1221424641011737+0.4252870692328743j),(-1.0160796397058247+0.5157139696111899j)
